"D";"Klassifikation af sygdomme"
"DA00";"Kolera"
"DA000";"Kolera forårsaget af vibrio cholerae (klassisk kolera)"
"DA001";"Kolera forårsaget af Vibrio cholerae eltor"
"DA009";"Kolera uden specifikation"
"DA01";"Tyfus og paratyfus"
"DA010";"Tyfus"
"DA011";"Paratyfus A"
"DA012";"Paratyfus B"
"DA013";"Paratyfus C"
"DA014";"Paratyfus uden specifikation"
"DA02";"Salmonella infektioner, andre"
"DA020";"Salmonella enteritis"
"DA021";"Salmonella sepsis"
"DA022";"Salmonella infektion, lokaliseret"
"DA022A";"Salmonella arthritis"
"DA022B";"Salmonella infektion, renal tubulo-interstitiel"
"DA022C";"Salmonella meningitis"
"DA022D";"Salmonella osteomyelitis"
"DA022E";"Salmonella pneumoni"
"DA028";"Salmonella infektion, anden specificeret"
"DA029";"Salmonella infektion uden specifikation"
"DA03";"Shigellose"
"DA030";"Bacillær dysenteri forårsaget af Shigella dysenteriae"
"DA031";"Bacillær dysenteri forårsaget af Shigella Flexneri"
"DA032";"Bacillær dysenteri forårsaget af Shigella Boydi"
"DA033";"Bacillær dysenteri forårsaget af Shigella Sonnei"
"DA038";"Bacillær dysenteri, anden"
"DA039";"Bacillær dysenteri uden specifikation"
"DA04";"Tarminfektioner, andre bakterielle"
"DA040";"Enteritis forårsaget af enteropatogen E coli infektion"
"DA041";"Enteritis forårsaget af enterotoksisk E coli infektion"
"DA042";"Enteritis forårsaget af enteroinvasiv E coli infektion"
"DA043";"Enteritis forårsaget af enterohæmoragisk E coli infektion"
"DA044";"Escherichia coli, anden tarminfektion"
"DA045";"Campylobacter enteritis"
"DA046";"Enteritis forårsaget af Yersinia enterocolitica"
"DA047";"Enterocolitis forårsaget af Clostridium difficile"
"DA048";"Enteritis, anden specificeret bakteriel"
"DA049";"Enteritis forårsaget af bakterier uden specifikation"
"DA05";"Alimentære bakterielle intoksikationer, andre"
"DA050";"Alimentær stafylokok infektion"
"DA051";"Botulismus"
"DA052";"Alimentær intoksikation m Clostridium perfringens toksin"
"DA053";"Alimentær intoksikation m Vibrio parahaemolyticus"
"DA054";"Alimentær intoksikation m Bacillus cereus"
"DA058";"Alimentære bacillære intoksikationer, andre"
"DA059";"Alimentær bacillær intoksikation uden specifikation"
"DA06";"Amøbedysenteri"
"DA060";"Amøbedysenteri, akut"
"DA061";"Amøbeinfek, kronisk intestinal"
"DA062";"Colitis amoebica"
"DA063";"Amoeboma intestini"
"DA063A";"Amoeboma uden specifikation"
"DA064";"Leverabsces forårsaget af amøbeinfektion"
"DA065";"Lungeabsces forårsaget af amøber"
"DA066";"Hjerneabsces forårsaget af amøbeinfektion"
"DA068";"Amøbeinfek m anden lokalisation"
"DA068A";"Appendicitis amoebica"
"DA068B";"Balanitis amoebica"
"DA069";"Amøbeinfektion uden specifikation"
"DA07";"Tarminfek fremkaldt af protozoer, andre"
"DA070";"Balantidiasis"
"DA071";"Giardiasis"
"DA071A";"Lambliasis"
"DA072";"Cryptosporidiosis"
"DA073";"Isosporiasis"
"DA073A";"Coccidiosis intestinalis"
"DA078";"Tarminfektion forårsaget af protozoer, anden specificeret"
"DA078A";"Sarcocystosis"
"DA078B";"Sarcosporidiosis"
"DA078C";"Trichomoniasis intestinalis"
"DA079";"Tarminfektion fremkaldt af protozoer uden specifikation"
"DA08";"Tarminfektion forårsaget af virus"
"DA080";"Rota virus enteritis"
"DA081";"Gastroenteritis forårsaget af Norwalk agens, akut"
"DA082";"Adenoviral enteritis"
"DA083";"Enteritis, anden virusbetinget"
"DA083A";"Gastroenteritis parvoviralis"
"DA084";"Viral tarminfektion uden specifikation"
"DA085";"Infektion i tarm, anden specificeret"
"DA09";"Diarré og gastroenteritis af infektiøs oprindelse"
"DA099";"Diarré og gastroenteritis af infektiøs oprindelse"
"DA15";"Tuberkulose i åndedrætsorganer, bakt og hist verificeret"
"DA150";"Lungetuberkulose, bakt verificeret u angivelse af metode"
"DA150A";"Bronchiectasis tuberculosa, bakteriologisk verificeret"
"DA150B";"Fibrosis pulmonis tuberculosa, bakteriologisk verificeret"
"DA150C";"Pneumonia tuberculosa, bakteriologisk verificeret"
"DA150D";"Pneumothorax tuberculosa, bakteriologisk verificeret"
"DA151";"Lungetuberkulose, verificeret ved dyrkning alene"
"DA152";"Lungetuberkulose, histologisk verificeret"
"DA153";"Lungetuberkulose, verificeret ved ikke angivet metode"
"DA154";"Tuberkulose i intratorakale lymfekirtler, bakt/hist verif"
"DA154A";"Tuberculosis lymphonodorum hili, bakt og hist verificeret"
"DA154B";"Tuberculosis lymphonodorum mediast, bakt og hist verificere"
"DA154C";"Tuberculosis lymphonodorum tracheobronch, bakt og hist veri"
"DA155";"Tuberkulose i strube luftrør og bronkier, bakt/hist verif"
"DA155A";"Tuberculosis bronchi, bakt og hist verificeret"
"DA155B";"Tuberculosis glottidis, bakt og hist verificeret"
"DA155C";"Tuberculosis laryngis, bakt og hist verificeret"
"DA155D";"Tuberculosis tracheae, bakt og hist verificeret"
"DA156";"Tuberkulose lungehindebetændelse, bakt/hist verificeret"
"DA156A";"Empyema pleurae tuberculosa, bakt og hist verificeret"
"DA157";"Prim tuberkulose i åndedrætsorg bakt eller hist verif"
"DA158";"Tuberkulose i andre åndedrætsorganer, bakt og hist verif"
"DA158A";"Tuberculosis mediastini, bakt og hist verificeret"
"DA158B";"Tuberculosis nasi, bakt og hist verificeret"
"DA158C";"Tuberculosis nasopharyngei, bakt og hist verificeret"
"DA159";"Tuberkulose i åndedrætsorg u spec, bakt/hist verificeret"
"DA16";"Tuberkulose i åndedrætsorg ikke bakt eller hist verif"
"DA160";"Lungetuberkulose, bakt/hist negativ"
"DA160A";"Bronchiectasia tuberculosa, bakt og hist negativ"
"DA160B";"Fibrosis pulmonis tuberculosa, bakt og hist negativ"
"DA160C";"Pneumonia tuberculosa, bakt og hist negativ"
"DA160D";"Pneumothorax tuberculosa, bakt og hist negativ"
"DA161";"Lungetuberkulose, bakt/hist undersøgelse ikke foretaget"
"DA162";"Lungetuberkulose u angivelse af bakt eller hist verif"
"DA162A";"Fibrosis pulmonis tub u spec uden ang af specifikation"
"DA162B";"Pneumonia tuberculosa u spec u ang af bakt ell hist verif"
"DA162C";"Pneumothorax tub u spec u ang af bakt ell hist verif"
"DA162D";"Tuberculosis pulm u spec u ang af verifikationsmåde"
"DA163";"Tuberkulose intrator lymfekirt u ang af bakt/hist verif"
"DA164";"Tuberkulose i strube luftrør og bronk u bakt/hist verif"
"DA164A";"Tuberculosis bronchi uden angivelse af verifikationmåde"
"DA164B";"Tuberculosis glottidis uden angivelse af verifikationsmåde"
"DA164C";"Tuberculosis laryngis uden angivelse af verifikationsmåde"
"DA164D";"Tuberculosis tracheae uden angivelse af verifikationsmåde"
"DA165";"Tuberkulose lungehindebet u ang af bakt/hist verif"
"DA165A";"Empyema pleurae tuberculosa uden ang af verifikationmåde"
"DA167";"Prim tuberkulose i åndedrætsorg uden bakt ell hist verif"
"DA168";"Anden tuberkulose i åndedrætsorg u bakt/hist verificeret"
"DA168A";"Tuberculosis mediastini uden angivelse af verifikationsmåde"
"DA168B";"Tuberculosis nasi uden angivelse af verifikationsmåde"
"DA168C";"Tuberculosis sinus nasi uden angivelse af verifikationsmåde"
"DA169";"Tuberkulose i åndedrætsorg uden spec u bakt/hist verif"
"DA17";"Tuberkulose i nervesystemet"
"DA170";"Meningoencephalitis tuberculosa"
"DA170A";"Tuberkuløs meningitis"
"DA171";"Tuberculoma meningum"
"DA178";"Tuberkulose i nervesystemet, anden"
"DA178A";"Abscessus cerebri tuberculosus"
"DA178B";"Neuritis tuberculosa"
"DA178C";"Tuberculoma medullae spinalis"
"DA178D";"Tuberculosis cerebri"
"DA178E";"Tuberculosis medullae spinalis"
"DA179";"Tuberkulose i nervesystemet uden specifikation"
"DA18";"Tuberkulose i andre organer"
"DA180";"Tuberkulose i knogler og led"
"DA180A";"Necrosis ossis tuberculosa"
"DA180B";"Ostitis tuberculosa"
"DA180C";"Tendovaginitis tuberculosa"
"DA180D";"Tuberculosis articuli"
"DA180E";"Tuberculosis columnae vertebralis"
"DA180F";"Tuberculosis coxae"
"DA180G";"Tuberculosis genus"
"DA181";"Tuberkulose i urinveje og kønsorganer"
"DA181A";"Tuberculosis cervicis uteri"
"DA181B";"Tuberculosis organorum genitalium feminae"
"DA181C";"Tuberculosis organorum genitalium viri"
"DA181D";"Tuberculosis renis"
"DA181E";"Tuberculosis ureteris"
"DA181F";"Tuberculosis vesicae urinariae"
"DA182";"Tuberkulose i perifere lymfekirtler"
"DA183";"Tuberkulose i tarm bughinde og mesenteriale lymfekirtler"
"DA183A";"Enteritis tuberculosa"
"DA183B";"Tuberculosis intestini"
"DA183C";"Tuberculosis lymphoglandulae mesenterii"
"DA183D";"Tuberculosis mesenterii"
"DA183E";"Tuberculosis peritonei"
"DA184";"Tuberkulose i hud og underhud"
"DA184A";"Lupus"
"DA184B";"Lupus excedens"
"DA184C";"Lupus vulgaris"
"DA184D";"Scrofuloderma"
"DA184E";"Tuberculosis cutis"
"DA184F";"Tuberculosis lichenoides"
"DA184G";"Tuberculosis subcutis"
"DA184H";"Tuberculosis verrucosa cutis"
"DA184I";"Erythema induratum (Bazin)"
"DA184J";"Lichen scrofulosorum"
"DA185";"Tuberkulose i øje"
"DA185A";"Chorioretinitis disseminata tuberculosa"
"DA185B";"Iridocyclitis chronica tuberculosa"
"DA185C";"Keratitis interstitialis tuberculosa"
"DA185D";"Keratoconjunctivitis (phlyctaenulosa) tuberculosa"
"DA186";"Tuberkulose i øre"
"DA187";"Tuberkulose i binyre"
"DA187A";"Morbus Addisoni tuberculosus"
"DA188";"Tuberkulose i andre specificerede organer"
"DA188A";"Arteritis cerebralis tuberculosa"
"DA188B";"Erythema induratum"
"DA188C";"Tuberculosis endocardii"
"DA188D";"Tuberculosis glandulae thyreoideae"
"DA188E";"Tuberculosis lienis"
"DA188F";"Tuberculosis myocardii"
"DA188G";"Tuberculosis oesophagi"
"DA188H";"Tuberculosis pericardii"
"DA19";"Miliær tuberkulose"
"DA190";"Akut miliær tuberkulose, enkelt lokalisation"
"DA191";"Akut miliær tuberkulose, flere lokalisationer"
"DA192";"Akut miliær tuberkulose uden specifikation"
"DA198";"Anden miliær tuberkulose"
"DA199";"Miliær tuberkulose uden specifikation"
"DA20";"Pest"
"DA209";"Pest"
"DA21";"Tularæmi (Harepest)"
"DA219";"Tularæmi"
"DA219A";"Deer fly fever"
"DA22";"Miltbrand"
"DA229";"Miltbrand"
"DA229A";"Anthrax intestini"
"DA229B";"Anthrax septicaemia"
"DA229C";"Meningitis anthracis"
"DA229D";"Pustula maligna"
"DA23";"Kalvekastningsfeber Svingefeber"
"DA239";"Kalvekastningsfeber"
"DA239A";"Brucellosis"
"DA239B";"Febris Malta"
"DA239C";"Febris mediterranea"
"DA239D";"Svingefeber"
"DA24";"Glanders og melioidosis"
"DA240";"Glanders"
"DA240A";"Malleus"
"DA244";"Melioidose"
"DA25";"Rottebidfeber"
"DA259";"Rottebidfeber"
"DA26";"Svinerosen"
"DA269";"Svinerosen"
"DA27";"Leptospirose"
"DA270";"Weil's sygdom"
"DA278";"Anden leptospirose"
"DA278A";"Leptospirosis Australiae"
"DA278B";"Leptospirosis Bataviae"
"DA278C";"Leptospirosis pyrogenes"
"DA278D";"Leptospirosis Sejrø, Saxkøbing"
"DA279";"Leptospirose uden specifikation"
"DA28";"Andre bakt dyreoverførte infek, ikke klassificeret ansted"
"DA280";"Pasteurellose"
"DA281";"Cat-scratch fever"
"DA282";"Yersinia infektion uden for tarmkanalen"
"DA282A";"Arthritis Yersenia enterocolica"
"DA282B";"Septicaemia Yersinia"
"DA282C";"Yersinia eksantem"
"DA288";"Andre specificerede bakt dyreoverførte infek"
"DA289";"Bakteriel dyreoverført infek uden specifikation"
"DA30";"Spedalskhed"
"DA309";"Spedalskhed uden specifikation"
"DA31";"Andre mykobakterielle sygdomme"
"DA310";"Infektion m mycobacterium i lungerne"
"DA310A";"Infectio mycobacterica avium pulmonis"
"DA310B";"Infectio mycobacterica intracellularis (Bacillus Battey)"
"DA310C";"Infectio mycobacterica kansasii pulmonis"
"DA311";"Infektion m mycobacterium i hud"
"DA311A";"Infectio cutis mycobacterium marinum"
"DA311B";"Infectio cutis mycobacterium ulcerans"
"DA311C";"Ulcus Buruli"
"DA318";"Anden infek m mycobacterium"
"DA319";"Mycobacteriosis atypica uden specifikation"
"DA32";"Listeriose"
