kóði;enskt heiti;;staða
A00.0;Cholera due to Vibrio cholerae 01, biovar cholerae;;1
A00.1;Cholera due to Vibrio cholerae 01, biovar eltor;;1
A00.9;Cholera, unspecified;;1
A01.0;Typhoid fever;;1
A01.1;Paratyphoid fever A;;1
A01.2;Paratyphoid fever B;;1
A01.3;Paratyphoid fever C;;1
A01.4;Paratyphoid fever, unspecified;;1
A02.0;Salmonella enteritis;;1
A02.1;Salmonella sepsis;;1
A02.2;Localized salmonella infections;;1
A02.8;Other specified salmonella infections;;1
A02.9;Salmonella infection, unspecified;;1
A03.0;Shigellosis due to Shigella dysenteriae;;1
A03.1;Shigellosis due to Shigella flexneri;;1
A03.2;Shigellosis due to Shigella boydii;;1
A03.3;Shigellosis due to Shigella sonnei;;1
A03.8;Other shigellosis;;1
A03.9;Shigellosis, unspecified;;1
A04.0;Enteropathogenic Escherichia coli infection;;1
A04.1;Enterotoxigenic Escherichia coli infection;;1
A04.2;Enteroinvasive Escherichia coli infection;;1
A04.3;Enterohaemorrhagic Escherichia coli infection;;1
A04.4;Other intestinal Escherichia coli infections;;1
A04.5;Campylobacter enteritis;;1
A04.6;Enteritis due to Yersinia enterocolitica;;1
A04.7;Enterocolitis due to Clostridium difficile;;1
A04.8;Other specified bacterial intestinal infections;;1
A04.9;Bacterial intestinal infection, unspecified;;1
A05.0;Foodborne staphylococcal intoxication;;1
A05.1;Botulism;;1
A05.2;Foodborne Clostridium perfringens [ Clostridium welchii ] intoxication;;1
A05.3;Foodborne Vibrio parahaemolyticus intoxication;;1
A05.4;Foodborne Bacillus cereus intoxication;;1
A05.8;Other specified bacterial foodborne intoxications;;1
A05.9;Bacterial foodborne intoxication, unspecified;;1
A06.0;Acute amoebic dysentery;;1
A06.1;Chronic intestinal amoebiasis;;1
A06.2;Amoebic nondysenteric colitis;;1
A06.3;Amoeboma of intestine;;1
A06.4;Amoebic liver abscess;;1
A06.5;Amoebic lung abscess (J99.8*);;1
A06.6;Amoebic brain abscess (G07*);;1
A06.7;Cutaneous amoebiasis;;1
A06.8;Amoebic infection of other sites;;1
A06.9;Amoebiasis, unspecified;;1
A07.0;Balantidiasis;;1
A07.1;Giardiasis [lambliasis];;1
A07.2;Cryptosporidiosis;;1
A07.3;Isosporiasis;;1
A07.8;Other specified protozoal intestinal diseases;;1
A07.9;Protozoal intestinal disease, unspecified;;1
A08.0;Rotaviral enteritis;;1
A08.1;Acute gastroenteropathy due to Norwalk agent;;1
