Code	D_code	ast	usedate	Valid	WHO	Code_w	d_code_w	Prim	Headline	Text	Tehty	ic9_cm	icd9_cm2	Text_2	SSKParentDgKods	SSKGrupa	Vai ieklaut	Teh pievienosana	Upper level idx	Laiks
A00										Holera					NULL	Zarnu infekcijas slimibas				
A00.0										Vibrio cholerae 01 ierosinata holera, biologiskais variants cholerae					A00	Zarnu infekcijas slimibas				
A00.1										Vibrio cholerae 01 ierosinata holera, biologiskais variants eltor					A00	Zarnu infekcijas slimibas				
A00.9										Neprecizeta holera					A00	Zarnu infekcijas slimibas				
A01										Vedertifs un paratifi					NULL	Zarnu infekcijas slimibas	x	X		
A01.0										Vedertifs					A01	Zarnu infekcijas slimibas	x	X	x	
A01.1										Paratifs A					A01	Zarnu infekcijas slimibas	x	X	x	
A01.2										Paratifs B					A01	Zarnu infekcijas slimibas	x	X	x	
A01.3										Paratifs C					A01	Zarnu infekcijas slimibas	x	X	x	
A01.4										Neprecizets paratifs					A01	Zarnu infekcijas slimibas	x	X	x	
A02										Citas salmonellu ierosinatas infekcijas					NULL	Zarnu infekcijas slimibas	x	X		
A02.0										Salmonellu ierosinats enterits					A02	Zarnu infekcijas slimibas	x	X	x	
A02.1										Salmonellu septicemija					A02	Zarnu infekcijas slimibas	x	X	x	
A02.2										Lokalizetas salmonelozes					A02	Zarnu infekcijas slimibas	x	X	x	
A02.8										Citas precizetas salmonelozes					A02	Zarnu infekcijas slimibas	x	X	x	
A02.9										Neprecizeta salmonellu infekcija					A02	Zarnu infekcijas slimibas	x	X	x	
A03										Sigelozes					NULL	Zarnu infekcijas slimibas	x	X		
A03.0										Shigella dysenteriae ierosinata dizenterija					A03	Zarnu infekcijas slimibas	x	X	x	
A03.1										Shigella flexneri ierosinata dizenterija					A03	Zarnu infekcijas slimibas	x	X	x	
A03.2										Shigella boydii ierosinata dizenterija					A03	Zarnu infekcijas slimibas	x	X	x	
A03.3										Shigella sonnei ierosinata dizenterija					A03	Zarnu infekcijas slimibas	x	X	x	
