Code Type;Year;Code;Code Text;Change from 2012 to 2013?
ICD-10;2013;A000;Kolera som skyldes Vibrio cholerae 01, biovar cholerae;
ICD-10;2013;A001;Kolera som skyldes Vibrio cholerae 01, biovar eltor;
ICD-10;2013;A009;Uspesifisert kolera;
ICD-10;2013;A010;Tyfoidfeber;
ICD-10;2013;A011;Paratyfoidfeber A;
ICD-10;2013;A012;Paratyfoidfeber B;
ICD-10;2013;A013;Paratyfoidfeber C;
ICD-10;2013;A014;Uspesifisert paratyfoidfeber;
ICD-10;2013;A020;Salmonellaenteritt;
ICD-10;2013;A021;Salmonellasepsis;
ICD-10;2013;A022;Lokaliserte salmonellainfeksjoner;
ICD-10;2013;A028;Andre spesifiserte salmonellainfeksjoner;
ICD-10;2013;A029;Uspesifisert salmonellainfeksjon;
ICD-10;2013;A030;Shigellose som skyldes Shigella dysenteriae;
ICD-10;2013;A031;Shigellose som skyldes Shigella flexneri;
ICD-10;2013;A032;Shigellose som skyldes Shigella boydii;
ICD-10;2013;A033;Shigellose som skyldes Shigella sonnei;
ICD-10;2013;A038;Annen spesifisert shigellose;
ICD-10;2013;A039;Uspesifisert shigellose;
ICD-10;2013;A040;Infeksjon som skyldes enteropatogen Escherichia coli;
ICD-10;2013;A041;Infeksjon som skyldes enterotoksigen Escherichia coli;
ICD-10;2013;A042;Infeksjon som skyldes enteroinvasiv Escherichia coli;
ICD-10;2013;A043;Infeksjon som skyldes enterohemoragisk Escherichia coli;
ICD-10;2013;A044;Andre tarminfeksjoner som skyldes Escherichia coli;
ICD-10;2013;A045;Enteritt som skyldes Campylobacter;
ICD-10;2013;A046;Enteritt som skyldes Yersinia enterocolitica;
ICD-10;2013;A047;Enterokolitt som skyldes Clostridium difficile;
ICD-10;2013;A048;Andre spesifiserte bakterielle tarminfeksjoner;
ICD-10;2013;A049;Uspesifisert bakteriell tarminfeksjon;
ICD-10;2013;A050;Matforgiftning som skyldes Staphylococcus;
ICD-10;2013;A051;Botulisme;
ICD-10;2013;A052;Matforgiftning som skyldes Clostridium perfringens;
ICD-10;2013;A053;Matforgiftning som skyldes Vibrio parahaemolyticus;
ICD-10;2013;A054;Matforgiftning som skyldes Bacillus cereus;
ICD-10;2013;A058;Andre spesifiserte bakterielle matforgiftninger;
ICD-10;2013;A059;Uspesifisert bakteriell matforgiftning;
ICD-10;2013;A060;Akutt am?bedysenteri;
ICD-10;2013;A061;Kronisk am?beinfeksjon i tarmkanalen;
ICD-10;2013;A062;Am?bekolitt uten dysenteri;
ICD-10;2013;A063;Am?bom i tarmkanalen;
ICD-10;2013;A064;Am?beabscess i lever;
ICD-10;2013;A065;Am?beabscess i lunge (og lever);
ICD-10;2013;A066;Am?beabscess i hjerne (og lever/og lunge);
ICD-10;2013;A067;Am?beinfeksjon i hud;
ICD-10;2013;A068;Am?beinfeksjon med annen spesifisert lokalisasjon;
ICD-10;2013;A069;Uspesifisert am?beinfeksjon;
ICD-10;2013;A070;Balantidiasis;
ICD-10;2013;A071;Infeksjon som skyldes Giardia lamblia;
ICD-10;2013;A072;Cryptosporidiosis;
ICD-10;2013;A073;Isosporiasis;
ICD-10;2013;A078;Andre spesifiserte protozosykdommer i tarmkanalen;
ICD-10;2013;A079;Uspesifisert protozosykdom i tarmkanalen;
ICD-10;2013;A080;Rotavirusenteritt;
ICD-10;2013;A081;Akutt gastroenteritt som skyldes Norwalk-faktor;
ICD-10;2013;A082;Adenovirusenteritt;
ICD-10;2013;A083;Annen virusenteritt;
ICD-10;2013;A084;Uspesifisert virusinfeksjon i mage-tarmkanalen;
ICD-10;2013;A085;Andre spesifiserte mage-tarminfeksjoner;
ICD-10;2013;A090;Annen og uspes. gastroenteritt og kolitt av infeksi?s ?rsak;
ICD-10;2013;A099;Gastroenteritt og kolitt av uspesifisert ?rsak;
ICD-10;2013;A150;Lungetbc bekr. v. mikroskopi av sputum med eller uten kultur;
ICD-10;2013;A151;Lungetuberkulose, kun bekreftet ved kultur;
ICD-10;2013;A152;Lungetuberkulose, histologisk bekreftet;
ICD-10;2013;A153;Lungetuberkulose, bekreftet p? ikke angitt m?te;
ICD-10;2013;A154;Tbc i intratorakale lymfekn., bakt. og histologisk bekr.;
ICD-10;2013;A155;Tbc i str.hode/glottis/luftr?r/bronkie, bakt. og hist. bekr.;
ICD-10;2013;A156;Tuberkul?s pleuritt, bakteriologisk og histologisk bekreftet;
ICD-10;2013;A157;Prim?r tbc i ?.dr.org., bakteriologisk og histologisk bekr.;
ICD-10;2013;A158;Annen spes. tbc i ?.dr.org., bakt. og histologisk bekreftet;
ICD-10;2013;A159;Uspesifisert tbc i ?.dr.org., bakt. og histologisk bekreftet;
ICD-10;2013;A160;Lungetuberkulose, bakteriologisk og histologisk negativ;
ICD-10;2013;A161;Lungetbc, bakt. og histologisk unders?kelse ikke utf?rt;
ICD-10;2013;A162;Lungetbc, bakt. eller histologisk bekreftelse ikke nevnt;
ICD-10;2013;A163;Tbc i intrator. lymfekn., bakt. el. hist. bekr. ikke nevnt;
ICD-10;2013;A164;Tbc i str.hode/luftr./bronkie, bakt. el. hist. bekr. ikke n.;
ICD-10;2013;A165;Tuberk. pleuritt, bakt. el. hist. bekreftelse ikke nevnt;
ICD-10;2013;A167;Prim?r tbc i ?.dr.org., bakt. el. hist. bekr. ikke nevnt;
ICD-10;2013;A168;A. spes. tbc i ?.dr.org., bakt. el. hist. bekr. ikke nevnt;
ICD-10;2013;A169;Uspes. tbc i ?.dr.org., bakt. el. hist. bekr. ikke nevnt;
ICD-10;2013;A170;Tuberkul?s meningitt;
ICD-10;2013;A171;Meningealt tuberkulom;
ICD-10;2013;A178;Annen spesifisert tuberkulose i nervesystemet;
ICD-10;2013;A179;Uspesifisert tuberkulose i nervesystemet;
ICD-10;2013;A180;Tuberkulose i ben og ledd;
ICD-10;2013;A181;Tuberkulose i urin- og kj?nnsorganer;
ICD-10;2013;A182;Tuberkul?s sykdom i perifere lymfeknuter;
ICD-10;2013;A183;Tuberkulose i tarmer, bukhinne og lymfeknuter i mesenterium;
ICD-10;2013;A184;Tuberkulose i hud og underhudsvev;
ICD-10;2013;A185;Tuberkulose i ?ye;
ICD-10;2013;A186;Tuberkulose i ?re;
ICD-10;2013;A187;Tuberkulose i binyrer;
ICD-10;2013;A188;Tuberkulose i andre spesifiserte organer;
ICD-10;2013;A190;Akutt mili?rtuberkulose, ?n enkelt spesifisert lokalisasjon;
ICD-10;2013;A191;Akutt mili?rtuberkulose, flere lokalisasjoner;
ICD-10;2013;A192;Uspesifisert akutt mili?rtuberkulose;
ICD-10;2013;A198;Annen spesifisert mili?rtuberkulose;
ICD-10;2013;A199;Uspesifisert mili?rtuberkulose;
ICD-10;2013;A200;Bubonpest;
ICD-10;2013;A201;Hudpest;
ICD-10;2013;A202;Lungepest;
ICD-10;2013;A203;Pestmeningitt;
ICD-10;2013;A207;Sepsispest;
ICD-10;2013;A208;Annen spesifisert pest;
ICD-10;2013;A209;Uspesifisert pest;
ICD-10;2013;A210;Ulceroglandul?r tularemi;
ICD-10;2013;A211;Okuloglandul?r tularemi;
ICD-10;2013;A212;Pulmonal tularemi;
ICD-10;2013;A213;Gastrointestinal tularemi;
ICD-10;2013;A217;Generalisert tularemi;
ICD-10;2013;A218;Annen spesifisert tularemi;
ICD-10;2013;A219;Uspesifisert tularemi;
ICD-10;2013;A220;Hudmiltbrann;
ICD-10;2013;A221;Lungemiltbrann;
ICD-10;2013;A222;Gastrointestinal miltbrann;
ICD-10;2013;A227;Miltbrannsepsis;
ICD-10;2013;A228;Annen spesifisert miltbrann;
ICD-10;2013;A229;Uspesifisert miltbrann;
ICD-10;2013;A230;Brucellose som skyldes Brucella melitensis;
ICD-10;2013;A231;Brucellose som skyldes Brucella abortus;
ICD-10;2013;A232;Brucellose som skyldes Brucella suis;
ICD-10;2013;A233;Brucellose som skyldes Brucella canis;
ICD-10;2013;A238;Annen spesifisert brucellose;
ICD-10;2013;A239;Uspesifisert brucellose;
ICD-10;2013;A240;Snive;
ICD-10;2013;A241;Akutt og fulminant melioidose;
ICD-10;2013;A242;Subakutt og kronisk melioidose;
ICD-10;2013;A243;Annen melioidose;
ICD-10;2013;A244;Uspesifisert melioidose;
ICD-10;2013;A250;Spirillose;
ICD-10;2013;A251;Streptobasillose;
ICD-10;2013;A259;Uspesifisert rottebittfeber;
ICD-10;2013;A260;Kutan erysipeloid;
ICD-10;2013;A267;Sepsis som skyldes Erysipelothrix;
ICD-10;2013;A268;Annen spesifisert erysipeloid;
ICD-10;2013;A269;Uspesifisert erysipeloid;
ICD-10;2013;A270;Leptospirosis icterohaemorrhagica;
ICD-10;2013;A278;Annen spesifisert leptospirose;
ICD-10;2013;A279;Uspesifisert leptospirose;
ICD-10;2013;A280;Pasteurellose;
ICD-10;2013;A281;Katteklorfeber;
ICD-10;2013;A282;Ekstraintestinal yersiniose;
ICD-10;2013;A288;Andre spesifiserte bakterielle zoonoser IKAS;
ICD-10;2013;A289;Uspesifisert bakteriell zoonose;
ICD-10;2013;A300;Ubestemt lepra;
ICD-10;2013;A301;Tuberkuloid lepra;
ICD-10;2013;A302;Tuberkuloid lepra av grensetype;
ICD-10;2013;A303;Lepra av grensetype;
ICD-10;2013;A304;Lepromat?s lepra av grensetype;
ICD-10;2013;A305;Lepromat?s lepra;
ICD-10;2013;A308;Annen spesifisert lepra;
ICD-10;2013;A309;Uspesifisert lepra;
ICD-10;2013;A310;Mykobakteriell lungeinfeksjon;
ICD-10;2013;A311;Mykobakteriell hudinfeksjon;
ICD-10;2013;A318;Andre spesifiserte infeksjoner som skyldes mykobakterier;
ICD-10;2013;A319;Uspesifisert infeksjon som skyldes mykobakterier;
ICD-10;2013;A320;Hudlisteriose;
ICD-10;2013;A321;Meningitt og meningoencefalitt som skyldes Listeria;
ICD-10;2013;A327;Listeriasepsis;
ICD-10;2013;A328;Annen spesifisert listeriose;
ICD-10;2013;A329;Uspesifisert listeriose;
ICD-10;2013;A33;Stivkrampe hos nyf?dt;
ICD-10;2013;A34;Stivkrampe etter f?dsel;
ICD-10;2013;A35;Annen stivkrampe;
ICD-10;2013;A360;Svelgdifteri;
ICD-10;2013;A361;Difteri i nasopharynx;
ICD-10;2013;A362;Larynksdifteri;
ICD-10;2013;A363;Kutan difteri;
ICD-10;2013;A368;Annen spesifisert difteri;
ICD-10;2013;A369;Uspesifisert difteri;
ICD-10;2013;A370;Kikhoste som skyldes Bordetella pertussis;
ICD-10;2013;A371;Kikhoste som skyldes Bordetella parapertussis;
ICD-10;2013;A378;Kikhoste som skyldes andre spesifiserte bordetella-arter;
ICD-10;2013;A379;Uspesifisert kikhoste;
ICD-10;2013;A38;Skarlagensfeber;
ICD-10;2013;A390;Meningokokkmeningitt;
ICD-10;2013;A391;Waterhouse-Friderichsens syndrom;
ICD-10;2013;A392;Akutt meningokokkemi;
ICD-10;2013;A393;Kronisk meningokokkemi;
ICD-10;2013;A394;Uspesifisert meningokokkemi;
ICD-10;2013;A395;Hjertesykdom for?rsaket av Meningococcus;
ICD-10;2013;A398;Andre spesifiserte meningokokkinfeksjoner;
ICD-10;2013;A399;Uspesifisert meningokokkinfeksjon;
ICD-10;2013;A400;Sepsis som skyldes Streptococcus, serogruppe A;
ICD-10;2013;A401;Sepsis som skyldes Streptococcus, serogruppe B;
ICD-10;2013;A402;Sepsis som skyldes Streptococcus, serogruppe D;
ICD-10;2013;A403;Sepsis som skyldes Streptococcus pneumoniae;
ICD-10;2013;A408;Annen spesifisert streptokokksepsis;
ICD-10;2013;A409;Uspesifisert streptokokksepsis;
ICD-10;2013;A410;Sepsis som skyldes Staphylococcus aureus;
ICD-10;2013;A411;Sepsis som skyldes andre spesifiserte stafylokokker;
ICD-10;2013;A412;Sepsis som skyldes uspesifiserte stafylokokker;
ICD-10;2013;A413;Sepsis som skyldes Haemophilus influenzae;
ICD-10;2013;A414;Sepsis som skyldes anaerobe bakterier;
ICD-10;2013;A415;Sepsis som skyldes andre gram-negative organismer;
ICD-10;2013;A418;Annen spesifisert sepsis;
ICD-10;2013;A419;Uspesifisert sepsis;
ICD-10;2013;A420;Pulmonal aktinomykose;
ICD-10;2013;A421;Abdominal aktinomykose;
ICD-10;2013;A422;Cervikofacial aktinomykose;
ICD-10;2013;A427;Aktinomykotisk sepsis;
ICD-10;2013;A428;Annen spesifisert aktinomykose;
ICD-10;2013;A429;Uspesifisert aktinomykose;
ICD-10;2013;A430;Pulmonal nokardiose;
ICD-10;2013;A431;Kutan nokardiose;
ICD-10;2013;A438;Annen spesifisert nokardiose;
ICD-10;2013;A439;Uspesifisert nokardiose;
ICD-10;2013;A440;Systemisk bartonellose;
ICD-10;2013;A441;Kutan og mukokutan bartonellose;
ICD-10;2013;A448;Annen spesifisert bartonellose;
ICD-10;2013;A449;Uspesifisert bartonellose;
ICD-10;2013;A46;Erysipelas;
ICD-10;2013;A480;Gassgangren;
ICD-10;2013;A481;Legion?rsykdom;
ICD-10;2013;A482;Legion?rsykdom uten pneumoni;
ICD-10;2013;A483;Toksisk sjokksyndrom;
ICD-10;2013;A484;Brasiliansk purpura fulminans;
ICD-10;2013;A488;Andre spesifiserte bakteriesykdommer;
ICD-10;2013;A490;Stafylokokkinfeksjon med uspesifisert lokalisasjon;
ICD-10;2013;A491;Streptokokkinfeksjon med uspesifisert lokalisasjon;
ICD-10;2013;A492;Infeksjon med uspes. lok. som skyldes Haemophilus influenzae;
ICD-10;2013;A493;Mykoplasmainfeksjon med uspesifisert lokalisasjon;
ICD-10;2013;A498;Andre bakterieinfeksjoner med uspesifisert lokalisasjon;
ICD-10;2013;A499;Uspesifisert bakterieinfeksjon;
ICD-10;2013;A500;Tidlig medf?dt syfilis, symptomgivende;
ICD-10;2013;A501;Tidlig medf?dt syfilis, latent;
ICD-10;2013;A502;Tidlig medf?dt syfilis, uspesifisert;
ICD-10;2013;A503;ùyesykdom ved sen medf?dt syfilis;
ICD-10;2013;A504;Medf?dt nevrosyfilis;
ICD-10;2013;A505;Annen sen medf?dt syfilis med symptomer eller stigmata;
ICD-10;2013;A506;Sen medf?dt syfilis, latent;
ICD-10;2013;A507;Sen medf?dt syfilis, uspesifisert;
ICD-10;2013;A509;Uspesifisert medf?dt syfilis;
ICD-10;2013;A510;Prim?r genital syfilis;
ICD-10;2013;A511;Prim?r anal syfilis;
ICD-10;2013;A512;Prim?r syfilis med annen lokalisasjon;
ICD-10;2013;A513;Sekund?r syfilis i hud og slimhinner;
ICD-10;2013;A514;Annen sekund?r syfilis;
ICD-10;2013;A515;Tidlig latent syfilis;
ICD-10;2013;A519;Uspesifisert tidlig syfilis;
ICD-10;2013;A520;Kardiovaskul?r syfilis;
ICD-10;2013;A521;Symptomgivende nevrosyfilis;
ICD-10;2013;A522;Asymptomatisk nevrosyfilis;
ICD-10;2013;A523;Uspesifisert nevrosyfilis;
ICD-10;2013;A527;Annen symptomgivende sensyfilis;
ICD-10;2013;A528;Latent sensyfilis;
ICD-10;2013;A529;Uspesifisert sensyfilis;
ICD-10;2013;A530;Latent syfilis, der debuttidspunkt ikke er spesifisert;
ICD-10;2013;A539;Uspesifisert syfilis;
ICD-10;2013;A540;Gc-inf., n. urog.syst. u. periur. absc. el. absc. till. kj.;
ICD-10;2013;A541;Gc-infek., n. urog.syst. m. periur. absc. og absc. till. kj.;
ICD-10;2013;A542;Gc-pelviperitonitt og andre gc.infek i kj.org. og u.veier;
