KOD;TEXT;HÄNDELSE
A000;Kolera orsakad av Vibrio cholerae 01, biovar cholerae;0
A001;Kolera orsakad av Vibrio cholerae 01, biovar el tor;0
A009;Kolera, ospecificerad;0
A010;Tyfoidfeber;0
A011;Paratyfoidfeber A;0
A012;Paratyfoidfeber B;0
A013;Paratyfoidfeber C;0
A014;Paratyfoidfeber, ospecificerad;0
A020;Salmonellaenterit;0
A021;Salmonellasepsis;0
A022;Lokaliserade salmonellainfektioner;0
A028;Andra specificerade salmonellainfektioner;0
A029;Andra salmonellainfektioner, ospecificerade;0
A030;Shigella dysenteriae;0
A031;Shigella flexneri;0
A032;Shigella boydii;0
A033;Shigella sonnei;0
A038;Annan specificerad shigellos;0
A039;Shigellos, ospecificerad;0
A040;Infektion med tarmpatogena Escherichia coli-bakterier;0
A041;Infektion med tarmtoxiska Escherichia coli-bakterier;0
A042;Infektion med tarminvasiva Escherichia coli-bakterier;0
A043;Infektion med tarmhemorragiska Escherichia coli-bakterier;0
A044;Annan tarminfektion med Escherichia coli;0
A045;Enterit orsakad av Campylobacter;0
A046;Enterit orsakad av Yersinia enterocolitica;0
A047;Enterokolit orsakad av Clostridium difficile;0
A048;Andra specificerade bakteriella tarminfektioner;0
A049;Bakteriell tarminfektion, ospecificerad;0
A050;Matförgiftning orsakad av stafylokocker;0
A051;Botulism;0
A052;Matförgiftning orsakad av Clostridium perfringens;0
A053;Matförgiftning orsakad av Vibrio parahaemolyticus;0
A054;Matförgiftning orsakad av Bacillus cereus;0
A058;Andra specificerade matförgiftningar orsakade av bakterier;0
A059;Matförgiftning orsakad av bakterier, ospecificerad;0
A060;Akut amöbadysenteri;0
A061;Kronisk intestinal amöbainfektion;0
A062;Kolit orsakad av amöba;0
A063;Amöbom i tarmen;0
A064;Leverabscess orsakad av amöba;0
A065;Lungabscess orsakad av amöba;0
A066;Hjärnabscess orsakad av amöba;0
A067;Sårbildning i huden orsakad av amöba;0
A068;Amöbainfektion med annan lokalisation;0
A069;Amöbainfektion, ospecificerad;0
A070;Balantidiasis;0
A071;Giardiasis;0
A072;Infektion orsakad av Cryptosporidium;0
A073;Isosporiasis;0
A078;Andra specificerade tarmsjukdomar orsakade av protozoer;0
A079;Protozosjukdom i tarmen, ospecificerad;0
A080;Enterit orsakad av rotavirus;0
A081;Akut gastroenteropati orsakad av Norwalk-faktor;0
A082;Enterit orsakad av adenovirus;0
A083;Enterit orsakad av annat specificerat virus;0
A083A;Coxsackievirus-enterit;0
A083B;Echovirus-enterit;0
A083W;Enterit orsakad av annat specificerat virus;0
A084;Enterit orsakad av icke specificerat virus;0
A085;Andra specificerade tarminfektioner;0
A090;Annan och ospecificerad gastroenterit och kolit av infektiös orsak;0
A099;Gastroenterit och kolit av icke specificerad orsak;0
A150;Lungtuberkulos, verifierad med mikroskopisk sputumundersökning, med eller utan odling;0
A151;Lungtuberkulos, verifierad endast med odling;0
A152;Lungtuberkulos, verifierad histologiskt;0
A153;Lungtuberkulos, verifierad med icke angiven metod;0
A154;Tuberkulos i intratorakala lymfkörtlar, verifierad bakteriologiskt och histologiskt;0
A155;Tuberkulos i larynx, trakea och bronker, verifierad bakteriologiskt och histologiskt;0
A156;Tuberkulös pleurit, verifierad bakteriologiskt och histologiskt;0
A157;Primär tuberkulos i andningsorganen, verifierad bakteriologiskt och histologiskt;0
A158;Annan tuberkulos i andningsorganen, verifierad bakteriologiskt och histologiskt;0
A159;Tuberkulos i andningsorganen, ospecificerad, verifierad bakteriologiskt och histologiskt;0
A160;Lungtuberkulos med bakteriologiskt och histologiskt negativt fynd;0
A161;Lungtuberkulos, bakteriologisk och histologisk undersökning ej genomförd;0
A162;Lungtuberkulos, utan uppgift om bakteriologisk eller histologisk verifikation;0
A163;Tuberkulos i intratorakala lymfkörtlar, utan uppgift om bakteriologisk eller histologisk verifikation;0
A164;Tuberkulos i larynx, trakea och bronk utan uppgift om bakteriologisk eller histologisk verifikation;0
A165;Tuberkulös pleurit utan uppgift om bakteriologisk eller histologisk verifikation;0
A167;Primär tuberkulos i andningsorganen utan uppgift om bakteriologisk eller histologisk verifikation;0
A168;Annan tuberkulos i andningsorganen utan uppgift om bakteriologisk eller histologisk verifikation;0
A169;Tuberkulos i icke specificerat andningsorgan utan uppgift om bakteriologisk eller histologisk verifikation;0
A170;Tuberkulös meningit;0
A171;Meningealt tuberkulom;0
A178;Annan tuberkulos i nervsystemet;0
A179;Tuberkulos i nervsystemet, ospecificerad;0
A180;Tuberkulos i skelettet och lederna;0
A181;Tuberkulos i urin- och könsorganen;0
A182;Tuberkulös perifer lymfadenopati;0
A183;Tuberkulos i tarmarna, peritoneum och mesenterialkörtlarna;0
A184;Tuberkulos i hud och subkutan vävnad;0
A184C;Lupus vulgaris UNS;0
A184D;Scrofuloderma;0
A184E;Tuberkulöst erythema induratum;0
A184F;Tuberkulöst erythema nodosum;0
A184G;Tuberkulöst hudsår;0
A184H;Tuberculosis verrucosa cutis;0
A184J;Acne scrofulosorum;0
A184K;Lichen scrofulosorum;0
A184L;Papulonekrotisk tuberkulid;0
A184X;Tuberkulos i hud och subkutan vävnad, ospecificerad;0
A185;Tuberkulos i öga;0
A186;Tuberkulos i öra;0
A187;Tuberkulos i binjurar;0
A188;Tuberkulos i andra specificerade organ;0
A190;Akut miliartuberkulos, en enda specificerad lokalisation;0
A191;Akut miliartuberkulos, flera lokalisationer;0
A192;Icke specificerad akut miliartuberkulos;0
A198;Annan miliartuberkulos;0
A199;Miliartuberkulos, ospecificerad;0
A200;Böldpest;0
A201;Cellulokutan pest;0
A202;Lungpest;0
A203;Meningit av Yersinia pestis;0
A207;Pestseptikemi;0
A208;Andra specificerade pestformer;0
A209;Pest, ospecificerad;0
A210;Ulceroglandulär tularemi;0
A211;Okuloglandulär tularemi;0
A212;Pulmonell tularemi;0
A213;Gastrointestinal tularemi;0
A217;Generaliserad tularemi;0
A218;Andra specificerade tularemiformer;0
A219;Tularemi, ospecificerad;0
A220;Kutan antrax;0
A221;Pulmonell antrax;0
A222;Gastrointestinal antrax;0
A227;Antraxsepsis;0
A228;Andra specificerade antraxformer;0
A229;Antrax, ospecificerad;0
A230;Brucellos orsakad av Brucella melitensis;0
A231;Brucellos orsakad av Brucella abortus;0
A232;Brucellos orsakad av Brucella suis;0
A233;Brucellos orsakad av Brucella canis;0
A238;Annan specificerad brucellos;0
A239;Brucellos, ospecificerad;0
A240;Rots;0
