IN/OUT	CODE	D_CODE	CODE_W	D_CODE_W	AST	TEXT	National comment				
OUT	O702A					"Perinealbristning av 3:e graden; partiell sfinkterruptur"	Borttag 2013-12-31				
OUT	O702B					"Perinealbristning av 3:e graden; total sfinkterruptur"	Borttag 2013-12-31				
IN	A691A					Vincents angina	Ny kod 2014-01-01				
IN	A691B					Ulcererande gingivostomatit (akut)	Ny kod 2014-01-01				
IN	A691W					Annan Vincent-infektion	Ny kod 2014-01-01				
IN	F323A					Uppgivenhetssyndrom	Ny kod 2014-01-01				
IN	F323W					Annan sv†r depressiv episod med psykotiska symtom	Ny kod 2014-01-01				
IN	J809A					L„tt ARDS (oxygeneringsindex (PaO2/FiO2) = 26?40 och PEEP 5 eller mer)	Ny kod 2014-01-01				
IN	J809B					M†ttlig ARDS (oxygeneringsindex (PaO2/FiO2) = 13?25 och PEEP 5 eller mer)	Ny kod 2014-01-01				
IN	J809C					Sv†r ARDS (oxygeneringsindex (PaO2/FiO2) mindre „n 13 och PEEP 5 eller mer)	Ny kod 2014-01-01				
IN	J809X					ARDS utan uppgift om sv†righetsgrad	Ny kod 2014-01-01				
IN	M058L					Erosiv reumatoid artrit, RF-positiv och ACPA-positiv	Ny kod 2014-01-01				
IN	M058M					Erosiv reumatoid artrit, RF-positiv och ACPA-negativ	Ny kod 2014-01-01				
IN	M058N					Erosiv reumatoid artrit, RF-positiv och ACPA ospecificerad	Ny kod 2014-01-01				
IN	M059L					Reumatoid artrit, RF-positiv och ACPA-positiv	Ny kod 2014-01-01				
IN	M059M					Reumatoid artrit, RF-positiv och ACPA-negativ	Ny kod 2014-01-01				
IN	M059N					Reumatoid artrit, RF-positiv och ACPA ospecificerad	Ny kod 2014-01-01				
IN	M060L					Reumatoid artrit, RF-negativ och ACPA-positiv	Ny kod 2014-01-01				
IN	M060M					Reumatoid artrit, RF-negativ och ACPA-negativ	Ny kod 2014-01-01				
IN	M060N					Reumatoid artrit, RF-negativ och ACPA ospecificerad	Ny kod 2014-01-01				
IN	M068L					Erosiv reumatoid artrit, RF-negativ och ACPA-positiv	Ny kod 2014-01-01				
IN	M068M					Erosiv reumatoid artrit, RF-negativ och ACPA-negativ	Ny kod 2014-01-01				
IN	M068N					Erosiv reumatoid artrit, RF-negativ och ACPA ospecificerad	Ny kod 2014-01-01				
IN	M350A					Prim„rt Sj”grens syndrom	Ny kod 2014-01-01				
IN	M350B					Sekund„rt Sj”grens syndrom	Ny kod 2014-01-01				
IN	N498A					Fourniers gangr„n i de manliga k”nsorganen	Ny kod 2014-01-01				
